,edge,ramp
231,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCallpoststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,0
162,mediaservice_tp:MediaServiceProcessor_func_dispatchCallmediaservice_tp:MediaServiceProcessor_func_dispatchCall,0
12,hometimeline_tp:HomeTimelineServiceProcessor_FUNC_process_ReadHomeTimelinehometimeline_tp:HomeTimelineServiceProcessor_FUNC_dispatchCall,0
0,hometimeline_tp:HomeTimelineServiceProcessor_FUNC_dispatchCallhometimeline_tp:HomeTimelineServiceProcessor_FUNC_dispatchCall,1
599,uniqueid_tp:UniqueIdServiceProcessor_FUNC_process_UploadUniqueIduniqueid_tp:UploadUniqueId_result_FUNC_write,1
600,uniqueid_tp:UploadUniqueId_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_UploadUniqueId,1
601,uniqueid_tp:UploadUniqueId_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUniqueId,1
602,uniqueid_tp:UploadUniqueId_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUniqueId,1
603,uniqueid_tp:UploadUniqueId_args_FUNC_readmasoum_tp:UploadUniqueId_pargs_FUNC_write,1
604,uniqueid_tp:UploadUniqueId_args_FUNC_readmasoum_tp:UploadUniqueId_presult_FUNC_read,1
605,uniqueid_tp:UploadUniqueId_args_FUNC_readuniqueid_tp:UniqueIdServiceProcessor_FUNC_dispatchCall,1
606,uniqueid_tp:UploadUniqueId_args_FUNC_readuniqueid_tp:UniqueIdServiceProcessor_FUNC_process_UploadUniqueId,1
607,uniqueid_tp:UploadUniqueId_args_FUNC_readuniqueid_tp:UploadUniqueId_args_FUNC_read,1
608,uniqueid_tp:UploadUniqueId_args_FUNC_readuniqueid_tp:UploadUniqueId_result_FUNC_write,1
609,uniqueid_tp:UploadUniqueId_result_FUNC_writemasoum_tp:ComposePostServiceClient_FUNC_send_UploadUniqueId,1
611,uniqueid_tp:UploadUniqueId_result_FUNC_writeuniqueid_tp:UniqueIdServiceProcessor_FUNC_dispatchCall,1
598,uniqueid_tp:UniqueIdServiceProcessor_FUNC_process_UploadUniqueIduniqueid_tp:UploadUniqueId_args_FUNC_read,1
612,uniqueid_tp:UploadUniqueId_result_FUNC_writeuniqueid_tp:UniqueIdServiceProcessor_FUNC_process_UploadUniqueId,1
613,uniqueid_tp:UploadUniqueId_result_FUNC_writeuniqueid_tp:UploadUniqueId_result_FUNC_write,1
614,urlshorten_tp:UploadUrls_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_UploadUrls,1
615,urlshorten_tp:UploadUrls_args_FUNC_readmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrls,1
616,urlshorten_tp:UploadUrls_args_FUNC_readmasoum_tp:UploadUrls_presult_FUNC_read,1
617,urlshorten_tp:UploadUrls_args_FUNC_readsocialnetworktypes_tp:Url_FUNC_write,1
618,urlshorten_tp:UploadUrls_args_FUNC_readurlshorten_tp:UploadUrls_args_FUNC_read,1
619,urlshorten_tp:UploadUrls_args_FUNC_readurlshorten_tp:UploadUrls_result_FUNC_write,1
620,urlshorten_tp:UploadUrls_args_FUNC_readurlshorten_tp:UrlShortenServiceProcessor_FUNC_dispatchCall,1
621,urlshorten_tp:UploadUrls_args_FUNC_readurlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrls,1
