,edge,t_test_duration,duration,t_test_stats,t_test_pvalue
0,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_args_FUNC_read,,11133022.0,4.153376585073515e+17,0.0
1,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_result_FUNC_write,,11133022.0,-1.525602933351388e+20,0.0
2,urlshorten_tp:UrlShortenServiceProcessor_FUNC_dispatchCallurlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrls,,11142635.0,-1.8257790761465257e+18,0.0
3,masoum_tp:UploadUrls_pargs_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,,16661.0,-2.535057071492362e+17,0.0
4,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUrlsmasoum_tp:UploadUrls_pargs_FUNC_write,,1430252.0,-3.8922290315342816e+17,0.0
5,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUrls,,1460585.0,-inf,0.0
6,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrls,,1460585.0,3.7184328158062156e+22,0.0
7,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrlsmasoum_tp:UploadUrls_presult_FUNC_read,,19075.0,4.1825678173351366e+17,0.0
8,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_args_FUNC_read,,7583559.0,inf,0.0
9,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_result_FUNC_write,,7583559.0,4.40197022132159e+17,0.0
10,urlshorten_tp:UrlShortenServiceProcessor_FUNC_dispatchCallurlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrls,,7593526.0,4.40197022132159e+17,0.0
11,masoum_tp:UploadUrls_pargs_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,,11975.0,inf,0.0
12,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUrlsmasoum_tp:UploadUrls_pargs_FUNC_write,,67001.0,inf,0.0
13,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUrls,,5973377.0,inf,0.0
14,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrls,,5973377.0,-8.380950142047652e+18,0.0
15,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrlsmasoum_tp:UploadUrls_presult_FUNC_read,,5896093.0,-3.9795773604049056e+17,0.0
16,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_args_FUNC_read,,625789.0,8.806266397417099e+16,0.0
17,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_result_FUNC_write,,625789.0,-inf,0.0
18,urlshorten_tp:UrlShortenServiceProcessor_FUNC_dispatchCallurlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrls,,630734.0,-5.2605985092103526e+17,0.0
19,masoum_tp:UploadUrls_pargs_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,,5942.0,-2.069193459682922e+17,0.0
20,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUrlsmasoum_tp:UploadUrls_pargs_FUNC_write,,31890.0,-2.2637557715852325e+19,0.0
21,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUrls,,469001.0,-8.072150134059472e+16,0.0
22,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrls,,469001.0,-inf,0.0
23,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrlsmasoum_tp:UploadUrls_presult_FUNC_read,,432738.0,-inf,0.0
24,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_args_FUNC_read,,558298.0,2.1378314950810013e+17,0.0
25,urlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrlsurlshorten_tp:UploadUrls_result_FUNC_write,,558298.0,inf,0.0
26,urlshorten_tp:UrlShortenServiceProcessor_FUNC_dispatchCallurlshorten_tp:UrlShortenServiceProcessor_FUNC_process_UploadUrls,,562807.0,-6.041183008699023e+19,0.0
27,masoum_tp:UploadUrls_pargs_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,,5756.0,-3.856491776784557e+17,0.0
28,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUrlsmasoum_tp:UploadUrls_pargs_FUNC_write,,41301.0,-3.524554295972011e+17,0.0
29,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUrls,,421886.0,-6.261650467346606e+17,0.0
30,masoum_tp:ComposePostServiceClient_FUNC_UploadUrlsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUrls,,421886.0,-2.440691744163159e+21,0.0
