,edge,source,target,entry_ts,duration,exit_ts
0,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsusermention_tp:usermention_UploadUserMentions_args_FUNC_read,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:usermention_UploadUserMentions_args_FUNC_read,1660849387407210167,849915,1660849387407215123
1,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,1660849387403252540,6954396,1660849387408970416
2,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentionsusermention_tp:UploadUserMentions_result_FUNC_write2,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:UploadUserMentions_result_FUNC_write2,1660849387409009980,6954396,1660849387409011226
3,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentionsmasoum_tp:UploadUserMentions_pargs_FUNC_write,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,masoum_tp:UploadUserMentions_pargs_FUNC_write,1660849387403257774,36851,1660849387403259849
4,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentionsmasoum_tp:UploadUserMentions_presult_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,masoum_tp:UploadUserMentions_presult_FUNC_read,1660849387408028051,8706,1660849387408032479
5,masoum_tp:UploadUserMentions_pargs_FUNC_writemasoum_tp:UploadUserMentions_pargs_FUNC_write,masoum_tp:UploadUserMentions_pargs_FUNC_write,masoum_tp:UploadUserMentions_pargs_FUNC_write,1660849387408030522,4428,1660849387408030578
6,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,1660849387403254755,5717876,1660849387403291606
7,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentionsmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_UploadUserMentions,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,1660849387403293227,5717876,1660849387408968656
8,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentionsmasoum_tp:UploadUserMentions_presult_FUNC_read,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,masoum_tp:UploadUserMentions_presult_FUNC_read,1660849387408964995,5675429,1660849387408967356
9,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentionsusermention_tp:UploadUserMentions_result_FUNC_write2,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,usermention_tp:UploadUserMentions_result_FUNC_write2,1660849387408075190,57306,1660849387408076434
10,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentionsusermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,masoum_tp:ComposePostServiceClient_FUNC_recv_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,1660849387407205849,5675429,1660849387408120041
11,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCallusermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_process_UploadUserMentions,1660849387402094801,6960038,1660849387409049197
12,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCallusermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,1660849387357795702,2098928,1660849387358752846
13,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCallmasoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,usermention_tp:UserMentionServiceProcessor_FUNC_dispatchCall,masoum_tp:ComposePostServiceClient_FUNC_send_UploadUserMentions,1660849387407208494,914192,1660849387408058409
0,usertimeline_tp:UserTimelineServiceProcessor_FUNC_process_WriteUserTimelineusertimeline_tp:WriteUserTimeline_args_FUNC_read,usertimeline_tp:UserTimelineServiceProcessor_FUNC_process_WriteUserTimeline,usertimeline_tp:WriteUserTimeline_args_FUNC_read,1660849390517681295,2055684,1660849390517689349
