,edge,traffic_jam
72,poststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCallpoststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,0
180,poststorageservice_tp:PostStorageServiceProcessor_FUNC_process_ReadPostspoststorageservice_tp:PostStorageServiceProcessor_FUNC_dispatchCall,0
0,masoum_tp:ComposePostServiceClient_FUNC_UploadTextmasoum_tp:ComposePostServiceClient_FUNC_recv_UploadText,1
1182,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:UploadCreator_args_FUNC_read,1
1181,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUrls,1
1180,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadUniqueId,1
1179,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadText,1
1178,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadMedia,1
1177,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceProcessor_FUNC_process_UploadCreator,1
1176,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:ComposePostServiceClient_FUNC_dispatchCall,1
1175,masoum_tp:UploadUserMentions_args_FUNC_readusertimeline_tp:WriteUserTimeline_presult_FUNC_read,1
1174,masoum_tp:UploadUserMentions_args_FUNC_readusertimeline_tp:WriteUserTimeline_pargs_FUNC_write,1
1183,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:UploadCreator_result_FUNC_write,1
1173,masoum_tp:UploadUserMentions_args_FUNC_readusertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,1
1171,masoum_tp:UploadUserMentions_args_FUNC_readusertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,1
1170,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Url_FUNC_write,1
1169,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Url_FUNC_read,1
1168,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Post_FUNC_write,1
1167,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_write,1
1166,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Media_FUNC_read,1
1165,masoum_tp:UploadUserMentions_args_FUNC_readsocialnetworktypes_tp:Creator_FUNC_read,1
1164,masoum_tp:UploadUserMentions_args_FUNC_readpoststorageservice_tp:StorePost_presult_FUNC_read,1
1163,masoum_tp:UploadUserMentions_args_FUNC_readpoststorageservice_tp:StorePost_pargs_FUNC_write,1
1162,masoum_tp:UploadUserMentions_args_FUNC_readpoststorageservice_tp:PostStorageServiceClient_FUNC_send_StorePost,1
1161,masoum_tp:UploadUserMentions_args_FUNC_readpoststorageservice_tp:PostStorageServiceClient_FUNC_recv_StorePost,1
1172,masoum_tp:UploadUserMentions_args_FUNC_readusertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,1
1160,masoum_tp:UploadUserMentions_args_FUNC_readpoststorageservice_tp:PostStorageServiceClient_FUNC_StorePost,1
1184,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:UploadMedia_args_FUNC_read,1
1186,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:UploadText_result_FUNC_write,1
1210,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePostmasoum_tp:UploadMedia_result_FUNC_write,1
1209,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePostmasoum_tp:UploadMedia_args_FUNC_read,1
1208,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePostmasoum_tp:UploadCreator_result_FUNC_write,1
1207,poststorageservice_tp:PostStorageServiceClient_FUNC_StorePostmasoum_tp:UploadCreator_args_FUNC_read,1
1206,masoum_tp:UploadUserMentions_result_FUNC_writeusertimeline_tp:WriteUserTimeline_presult_FUNC_read,1
1205,masoum_tp:UploadUserMentions_result_FUNC_writeusertimeline_tp:WriteUserTimeline_pargs_FUNC_write,1
1204,masoum_tp:UploadUserMentions_result_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_send_WriteUserTimeline,1
1203,masoum_tp:UploadUserMentions_result_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_recv_WriteUserTimeline,1
1202,masoum_tp:UploadUserMentions_result_FUNC_writeusertimeline_tp:UserTimelineServiceClient_FUNC_WriteUserTimeline,1
1201,masoum_tp:UploadUserMentions_result_FUNC_writesocialnetworktypes_tp:Url_FUNC_write,1
1200,masoum_tp:UploadUserMentions_result_FUNC_writesocialnetworktypes_tp:Url_FUNC_read,1
1185,masoum_tp:UploadUserMentions_result_FUNC_writemasoum_tp:UploadMedia_result_FUNC_write,1
1199,masoum_tp:UploadUserMentions_result_FUNC_writesocialnetworktypes_tp:Post_FUNC_write,1
1197,masoum_tp:UploadUserMentions_result_FUNC_writesocialnetworktypes_tp:Media_FUNC_read,1
1196,masoum_tp:UploadUserMentions_result_FUNC_writesocialnetworktypes_tp:Creator_FUNC_write,1
1195,masoum_tp:UploadUserMentions_result_FUNC_writepoststorageservice_tp:StorePost_presult_FUNC_read,1
